name;symbolnasdaq;currency;isin;symbol;sector;sector_code;
Digia Oyj;DIGIA;EUR;FI0009007983;DIGIA.HE;Technology;1010;
Diös Fastigheter;DIOS;SEK;SE0001634262;DIOS.ST;Real Estate;3510;
D/S Norden;DNORD;DKK;DK0060083210;DNORD.CO;Industrials;5020;
Duni;DUNI;SEK;SE0000616716;DUNI.ST;Consumer Goods;4520;
Dustin Group;DUST;SEK;SE0006625471;DUST.ST;Consumer Services;4040;
Eastnine;EAST;SEK;SE0002158568;EAST.ST;Real Estate;3510;
Eik fasteignafélag;EIK;ISK;IS0000020709;EIK.IC;Real Estate;3510;
Eimskipafélag Íslands;EIM;ISK;IS0000019800;EIM.IC;Industrials;5020;
Elanders B;ELAN B;SEK;SE0000119299;ELAN-B.ST;Industrials;5020;
Elos Medtech B;ELOS B;SEK;SE0000120776;ELOS-B.ST;Health Care;2010;
Eltel;ELTEL;SEK;SE0006509949;ELTEL.ST;Industrials;5020;
Fastighetsbolaget Emilshus B;EMIL B;SEK;SE0016785786;EMIL-B.ST;Real Estate;3510;
Fastighetsbolag. Emilshus Pref;EMIL PREF;SEK;SE0016785794;EMIL-PREF.ST;Real Estate;3510;
Enea;ENEA;SEK;SE0009697220;ENEA.ST;Technology;1010;
Enento Group Oyj;ENENTO;EUR;FI4000123195;ENENTO.HE;Financials;3020;
engcon B;ENGCON B;SEK;SE0017769847;ENGCON-B.ST;Industrials;5020;
EnQuest PLC;ENQ;SEK;GB00B635TG28;ENQ.L;Energy;6010;
Eolus Vind B;EOLU B;SEK;SE0007075056;EOLU-B.ST;Energy;6010;
eQ Oyj;EQV1V;EUR;FI0009009617;EQV1V.HE;Financials;3020;
Etteplan Oyj;ETTE;EUR;FI0009008650;ETTE.HE;Industrials;5020;
Evli Oyj;EVLI;EUR;FI4000513437;EVLI.HE;Financials;3020;
Fagerhult;FAG;SEK;SE0010048884;FAG.ST;Industrials;5010;
Fastator;FASTAT;SEK;SE0015407382;FASTAT.ST;Real Estate;3510;
Festi;FESTI;ISK;IS0000020584;FESTI.IC;Consumer Services;4040;
Fasadgruppen Group;FG;SEK;SE0015195771;FG.ST;Industrials;5010;
