nasdaq_nordic_small.csv:Møns Bank;MNBA;DKK;DK0060133841;MNBA.CO;Financials;3010;
nasdaq_nordic_small.csv:MT Højgaard Holding;MTHH;DKK;DK0010255975;MTHH.CO;Industrials;5010;
nasdaq_nordic_small.csv:Newcap Holding;NEWCAP;DKK;DK0010212570;NEWCAP.CO;Financials;3020;
nasdaq_nordic_small.csv:Nordic Shipholding;NORDIC;DKK;DK0060083996;NORDIC.CO;Energy;6010;
nasdaq_nordic_small.csv:Nordfyns Bank;NRDF;DKK;DK0061295441;NRDF.CO;Financials;3010;
nasdaq_nordic_small.csv:NTR Holding B;NTR B;DKK;DK0010027671;NTR-B.CO;Industrials;5020;
nasdaq_nordic_small.csv:PARKEN Sport & Entertainment;PARKEN;DKK;DK0010237643;PARKEN.CO;Consumer Services;4050;
nasdaq_nordic_small.csv:Park Street A;PARKST A;DKK;DK0010158500;PARKST-A.CO;Real Estate;3510;
nasdaq_nordic_small.csv:Penneo;PENNEO;DKK;DK0061283009;PENNEO.CO;Technology;1010;
nasdaq_nordic_small.csv:Prime Office;PRIMOF;DKK;DK0060137594;PRIMOF.CO;Real Estate;3510;
nasdaq_nordic_small.csv:Roblon B;RBLN B;DKK;DK0060485019;RBLN-B.CO;Industrials;5020;
nasdaq_nordic_small.csv:Rias B;RIAS B;DKK;DK0010125848;RIAS-B.CO;Industrials;5020;
nasdaq_nordic_small.csv:Rovsing;ROV;DKK;DK0061152170;ROV.CO;Industrials;5020;
nasdaq_nordic_small.csv:Sanistål;SANI;DKK;DK0010245661;SANI.CO;Consumer Services;4040;
nasdaq_nordic_small.csv:Scandinavian Brake Systems;SBS;DKK;DK0060042612;SBS.CO;Consumer Services;4010;
nasdaq_nordic_small.csv:Silkeborg IF Invest;SIF;DKK;DK0010128008;SIF.CO;Consumer Services;4030;
nasdaq_nordic_small.csv:Scandinavian Investment Group;SIG;DKK;DK0060038933;SIG.CO;Industrials;5020;
nasdaq_nordic_small.csv:SKAKO;SKAKO;DKK;DK0010231877;SKAKO.CO;Industrials;5020;
nasdaq_nordic_small.csv:Skjern Bank;SKJE;DKK;DK0010295922;SKJE.CO;Financials;3010;
nasdaq_nordic_small.csv:Strategic Investments;STRINV;DKK;DK0010271238;STRINV.CO;Financials;3020;
nasdaq_nordic_small.csv:Totalbanken;TOTA;DKK;DK0060082758;TOTA.CO;Financials;3010;
nasdaq_nordic_small.csv:Vicore Pharma Holding;VICO;SEK;SE0007577895;VICO.ST;Health Care;2010;
